,Text,Aspect Term,Sentiment,Polarity
0,guthi widheka lyaaera thamela maa raaja guthi k0 jaggaa maa bane k0 chhaayaa sentara jastaa laai j0gaauna k0 laagi lyaaudaichha widheka .,j0gaauna k0 laagi,GENERAL,0
1,dale le desa sakechhana sabai beche ra khaana suru garechhana aba dale laai lakhetanu pachha .,lakhetanu pachha,GENERAL,1
2,nepaala k0 sasakariti dhwasta paarne y0janaa h0 y0 !,sasakariti dhwasta paarne,GENERAL,1
3,matha mandira gumbaa kaa jaggaa haru maa bhumaaphiyaa k0 najara pare k0 hunaa le y0 widheka ae k0 h0 !,bhumaaphiyaa,GENERAL,1
4,nepaala kaa kala karkhaanaa ra nadi naalaa bechi sake aba matha mandira laai pani bechi khaane niyata dekhinchha .,bechi sake,GENERAL,1
5,nepaala kaa kala karkhaanaa ra nadi naalaa bechi sake aba matha mandira laai pani bechi khaane niyata dekhinchha .,bechi khaane niyata,GENERAL,1
6,y0 bhanadaari lai kaal0m0s0 lagaaera bhagaunu parchha tarka chai nadine khaali raamr0 chha maatra bhanne .,kaal0m0s0 lagaaera bhagaunu parchha,GENERAL,1
7,"anya desa maa jamina raajya kaae hunchha , , janataa radesa maa ghaata hudaina , tara nepaala maa , jamina jhaaele , jhande le ghaata gare aaphne banaau chhana .","jhaaele , jhande",GENERAL,1
8,sarakaara bidesi k0 dijaaina maa chha sanaatana k0 samraata raajaa laai hataae pachhi saaskaritika maasna sajil0 hunchha bhanera tibra rupa maa agaadi ganatantra baddai chha .,sanaatana k0 samraata,GENERAL,0
9,sarakaara bidesi k0 dijaaina maa chha sanaatana k0 samraata raajaa laai hataae pachhi saaskaritika maasna sajil0 hunchha bhanera tibra rupa maa agaadi ganatantra baddai chha .,bidesi k0 dijaaina maa,GENERAL,1
10,yaae bhandaari dalaala laai kina lyaaekaae .,dalaala,GENERAL,1
11,y0 saalaa naake baahuna guthi bidayeka paarita garera bhu maaphiyaa saga arabau rupiyaan lutera khaane daau maa chha .,lutera khaane daau maa chha,GENERAL,1
12,y0 bisnu paudela k0 hanumaana h0 .,hanumaana,GENERAL,1
13,muna k0 muta khaak0 ch0ra haru laai guthi dekhi sakenan .,muta khaak0 ch0ra,GENERAL,1
14,gaandhi bhaarata maa anti hindu hudaa naathuraama g0dse le gandhi laai g0li haani mare .,anti hindu,GENERAL,1
15,y0 antarabaartaa herdaa ta guthi k0 naama maa luti khaana palke kaa laai sarakaara le niyamana garne harahisaaba paaradarsi garna kh0jdaa kheri nindraa haraama gare jast0 laag0 .,luti khaana palke kaa,GENERAL,1
16,muna k0 biryapaana garera dharma beche aba guthi bidheka lyaaera bha kaa matha mandira ani desai bechera khaanchhan yi muna kaa santaana haru le .,muna kaa santaana,GENERAL,1
17,muna k0 biryapaana garera dharma beche aba guthi bidheka lyaaera bha kaa matha mandira ani desai bechera khaanchhan yi muna kaa santaana haru le .,muna k0 biryapaana,GENERAL,1
18,muna k0 biryapaana garera dharma beche aba guthi bidheka lyaaera bha kaa matha mandira ani desai bechera khaanchhan yi muna kaa santaana haru le .,bechera khaanchhan,GENERAL,1
19,kamisana kh0ri haru le baat0 kh0ji rahe k0 kuraa laataa le pani buje k0 chha laajamard0 tarka nagara ch0ra haru .,kamisana kh0ri,GENERAL,1
20,khaana napaae kaa bhikaari parechhna baa ki kehi naraakhne bhae ?,bhikaari,GENERAL,1
21,"guthi byabasthaapana sambandhi kuraa janataa laai ta kasari thaahaa h0sa , maatra kaaga le kaana lagy0 bhandiy0 kasai le , pachhi dagurne hun .",pachhi dagurne hun,GENERAL,1
22,guthi bidhayaka sahi chha maatra sabai le bujhna nasake k0 h0 .,sahi chha,GENERAL,0
23,guthi bidhayaka sahi chha maatra sabai le bujhna nasake k0 h0 .,bujhna nasake k0,GENERAL,1
24,banjaade mulaa alika thul0 netaa harulaai leunu na hau .,mulaa,GENERAL,1
